ddodyear,censuscode,deathcount
2020,5593,2
2020,5790,38
2020,6070,3
2020,6080,8
2020,6090,2
2020,6170,40
2020,6180,8
2020,6190,4
2020,6270,1
2020,6280,1
2020,6290,18
2020,6370,9
2020,6380,5
2020,6390,6
2020,6470,4
2020,6480,4
2020,6570,3
2020,6590,1
2020,6670,2
2020,6680,17
2020,6690,4
2020,6695,1
2020,6770,2
2020,6870,20
2020,6890,6
2020,6970,8
2020,6991,5
2020,6992,5
2020,7071,20
2020,7072,4
2020,7190,1
2020,7270,20
2020,7280,16
2020,7290,13
2020,7370,3
2020,7380,15
2020,7460,4
2020,7470,2
2020,7480,1
2020,7490,4
2020,7580,2
2020,7590,2
2020,7670,4
2020,7680,13
2020,7690,13
2020,7770,7
2020,7780,1
2020,7860,95
2020,7870,27
2020,7880,3
2020,7890,1
2020,7970,8
2020,7980,9
2020,8070,4
2020,8080,3
2020,8090,9
2020,8170,11
2020,8180,1
2020,8191,73
2020,8192,1
2020,8270,17
2020,8290,1
2020,8370,24
2020,8470,10
2020,8562,3
2020,8563,1
2020,8564,19
2020,8570,1
2020,8590,4
2020,8660,9
2020,8680,52
2020,8690,3
2020,8770,22
2020,8870,3
2020,8891,7
2020,8970,1
2020,8980,4
2020,9070,4
2020,9090,5
2020,9160,10
2020,9170,4
2020,9180,3
2020,9190,2
2020,9290,7
2020,9380,3
2020,9390,37
2020,9470,19
2020,9480,9
2020,9490,1
2020,9570,4
2020,9590,4
2021,0170,13
2021,0180,4
2021,0190,2
2021,0270,3
2021,0280,3
2021,0290,2
2021,0370,2
2021,0480,1
2021,0570,4
2021,0580,4
2021,0670,1
2021,0690,3
2021,0770,105
2021,1180,1
2021,1190,3
2021,1270,5
2021,1280,1
2021,1290,4
2021,1480,2
2021,1590,1
2021,1670,1
2021,1691,8
2021,1870,6
2021,1880,1
2021,1990,12
2021,2070,1
2021,2190,3
2021,2270,2
2021,2280,1
2021,2290,1
2021,2370,1
2021,2490,3
2021,2570,2
2021,2670,3
2021,2680,1
2021,2770,4
2021,2870,2
2021,2880,2
2021,2980,5
2021,2990,5
2021,3070,1
2021,3170,2
2021,3380,1
2021,3390,11
2021,3470,1
2021,3490,2
2021,3570,6
2021,3580,2
2021,3590,8
2021,3680,5
2021,3770,7
2021,3875,3
2021,3895,3
2021,3960,2
2021,3980,1
2021,3990,31
2021,4070,3
2021,4080,1
2021,4170,4
2021,4180,1
2021,4195,1
2021,4270,2
2021,4280,3
2021,4290,3
2021,4470,5
2021,4560,2
2021,4580,1
2021,4590,4
2021,4670,17
2021,4680,1
2021,4690,2
2021,4770,3
2021,4780,1
2021,4795,1
2021,4870,4
2021,4880,1
2021,4890,2
2021,4971,15
2021,4972,4
2021,4980,1
2021,5070,5
2021,5080,1
2021,5170,10
2021,5180,2
2021,5190,1
2021,5275,1
2021,5370,2
2021,5381,4
2021,5470,2
2021,5490,1
2021,5570,1
2021,5580,1
2021,5670,1
2021,5680,1
2021,5790,43
2021,6070,9
2021,6080,14
2021,6090,3
2021,6170,41
2021,6180,8
2021,6190,4
2021,6290,17
2021,6370,14
2021,6380,3
2021,6390,6
2021,6470,3
2021,6480,9
2021,6570,1
2021,6680,18
2021,6690,1
2021,6770,3
2021,6870,20
2021,6890,8
2021,6970,8
2021,6991,14
2021,6992,8
2021,7071,27
2021,7072,6
2021,7080,1
2021,7270,17
2021,7280,16
2021,7290,12
2021,7370,6
2021,7380,18
2021,7390,5
2021,7460,4
2021,7470,1
2021,7480,1
2021,7490,2
2021,7570,2
2021,7580,1
2021,7590,1
2021,7670,4
2021,7680,11
2021,7690,18
2021,7770,13
2021,7780,1
2021,7790,1
2021,7860,90
2021,7870,27
2021,7890,4
2021,7970,12
2021,7980,7
2021,7990,2
2021,8080,7
2021,8090,7
2021,8170,12
2021,8180,4
2021,8191,65
2021,8192,3
2021,8270,19
2021,8290,2
2021,8370,20
2021,8380,3
2021,8470,5
2021,8561,1
2021,8562,1
2021,8563,1
2021,8564,26
2021,8570,3
2021,8590,8
2021,8660,6
2021,8680,57
2021,8690,6
2021,8770,22
2021,8780,1
2021,8870,1
2021,8891,7
2021,8970,2
2021,8980,11
2021,8990,2
2021,9070,3
2021,9090,3
2021,9160,9
2021,9170,10
2021,9180,2
2021,9290,4
2021,9380,1
2021,9390,38
2021,9470,18
2021,9480,6
2021,9490,1
2021,9590,3
2022,0170,16
2022,0190,1
2022,0270,2
2022,0280,3
2022,0290,3
2022,0370,2
2022,0490,1
2022,0570,10
2022,0580,2
2022,0670,2
2022,0690,2
2022,0770,100
2022,1180,1
2022,1270,2
2022,1280,1
2022,1290,7
2022,1370,1
2022,1480,3
2022,1691,7
2022,1770,1
2022,1870,1
2022,1890,1
2022,1990,7
2022,2180,1
2022,2290,1
2022,2370,2
2022,2380,1
2022,2490,2
2022,2670,7
2022,2680,3
2022,2770,3
2022,2790,1
2022,2870,6
2022,2880,5
2022,2980,5
2022,3170,1
2022,3180,2
2022,3291,3
2022,3365,1
2022,3370,1
2022,3390,13
2022,3490,2
2022,3570,5
2022,3580,2
2022,3590,6
2022,3680,4
2022,3770,3
2022,3780,1
2022,3875,2
2022,3895,5
2022,3960,2
2022,3970,2
2022,3980,5
2022,3990,32
2022,4070,2
2022,4170,1
2022,4180,3
2022,4195,1
2022,4270,3
2022,4290,2
2022,4370,1
2022,4470,3
2022,4480,1
2022,4490,1
2022,4580,2
2022,4590,1
